18:05:42.197 [main] INFO  Job51JobSpider - 启动
18:05:42.204 [main] INFO  Job51JobSpider - curDir:/mnt/server1/GitRepo/wangzhen/51jobSpider
18:05:42.206 [main] INFO  Job51JobSpider - 配置文件 headless:on
18:05:42.206 [main] INFO  Job51JobSpider - 配置文件 timeout:20
18:05:42.206 [main] INFO  Job51JobSpider - 配置文件 city_schedule_time:23:25
log4j:WARN No appenders could be found for logger (io.github.bonigarcia.wdm.cache.ResolutionCache).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
18:05:42.759 [main] INFO  Job51JobSpider - 已完成的url数量:4723
18:05:42.761 [main] INFO  Job51JobSpider - 解析页数文件:CityPage/海口/1.json
18:05:43.112 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139351417.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.112 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139350921.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.112 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139350579.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.112 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139349772.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.112 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/138024475.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.113 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137290829.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.113 [main] INFO  Job51JobSpider - url:http://ideal.51job.com/longi/job-detail.html?jobid=139349170,为异常模板
18:05:43.113 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/119491805.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.113 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139342937.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
